diff,winrate
0.021074999999999955,0.428
-0.22735499999999997,0.301
0.161495,0.577
0.13026500000000008,0.678
-0.038250000000000006,0.272
-0.1312399999999999,0.334
0.05671500000000007,0.647
-0.11383999999999994,0.354
-0.13730499999999995,0.342
-0.039429999999999965,0.386
-0.02085999999999999,0.451
0.10642999999999997,0.569
0.042525000000000035,0.597
-0.22862,0.382
0.14571499999999998,0.694
0.0,0.497
0.07577,0.666
0.04951,0.597
0.09716000000000002,0.684
-0.16358,0.349
-0.208165,0.297
-0.08184999999999998,0.393
0.11216500000000001,0.648
0.06988,0.667
-0.15403,0.379
-0.012090000000000045,0.587
-0.17546000000000006,0.318
0.034450000000000036,0.473
-0.04638999999999993,0.569
-0.154615,0.353
-0.10604000000000002,0.234
-0.185025,0.375
0.07278000000000001,0.581
0.04349500000000006,0.588
0.12548500000000007,0.569
-0.000260000000000038,0.584
0.03541500000000003,0.609
0.12434,0.698
-0.24560499999999996,0.412
-0.143395,0.361
0.241135,0.714
-0.08218999999999999,0.366
-0.08777000000000001,0.443
0.101885,0.639
-0.03948999999999997,0.483
0.14772000000000002,0.61
-0.21470499999999992,0.333
-0.033889999999999976,0.453
-0.13884999999999997,0.434
-0.18517999999999996,0.321
-0.13995000000000002,0.285
-0.026239999999999986,0.388
0.007830000000000004,0.469
0.15159,0.515
0.07994499999999993,0.64
0.008084999999999953,0.469
-0.023329999999999962,0.601
-0.03176000000000001,0.562
-0.06895000000000001,0.354
-0.22069999999999995,0.375
-0.05906499999999998,0.321
0.156775,0.683
0.053755,0.598
-0.009384999999999977,0.422
0.06439,0.626
0.08438999999999997,0.642
0.12805999999999995,0.624
-0.205515,0.321
-0.02174499999999996,0.312
-0.264885,0.325
0.19728,0.684
0.06276500000000002,0.711
-0.10861000000000004,0.41
0.17942999999999998,0.664
-0.06744,0.367
0.18732500000000002,0.704
-0.25368499999999994,0.151
0.014394999999999991,0.43
0.11639499999999997,0.592
0.03410500000000005,0.57
0.11793500000000001,0.817
0.004159999999999997,0.67
0.19365500000000002,0.679
0.09742,0.626
-0.27273499999999995,0.122
-0.240415,0.292
0.04372999999999999,0.642
0.28288499999999994,0.875
-0.35858,0.198
0.08882999999999996,0.641
-0.13982500000000003,0.379
0.25986000000000004,0.651
-0.15705999999999998,0.398
-0.03525999999999996,0.545
-0.003784999999999983,0.535
0.04050999999999999,0.575
0.10285999999999995,0.517
0.0,0.51
0.1521,0.704
0.107095,0.587
-0.004755000000000065,0.557
-0.1356,0.261
0.33843000000000006,0.693
-0.25721,0.375
-0.12472,0.394
0.036680000000000046,0.553
-0.13127,0.352
0.19570500000000002,0.631
-0.30914,0.336
-0.05452000000000001,0.407
-0.25214,0.39
0.01992000000000005,0.672
-0.06388000000000005,0.316
-0.13771499999999998,0.337
0.16618000000000005,0.66
-0.06935000000000002,0.279
0.0,0.495
0.030905000000000016,0.447
-0.029610000000000025,0.315
0.08618500000000001,0.6
-0.451525,0.117
-0.259055,0.353
0.15669500000000003,0.515
0.05826500000000001,0.733
0.18347000000000008,0.704
0.05181999999999998,0.604
0.190805,0.626
0.15232,0.641
0.095115,0.604
0.129755,0.625
0.18428499999999998,0.634
-0.12125500000000006,0.25
-0.12199499999999996,0.314
0.08104,0.605
-0.07094999999999996,0.374
0.21063999999999994,0.715
-0.07273999999999997,0.335
-0.08672500000000005,0.312
0.143285,0.734
0.19818999999999998,0.656
-0.22851,0.337
-0.25476,0.314
-0.10370500000000005,0.284
