round,queen call,jack bet
1001,0.5820040956088992,0.226725307489612
2001,0.46587009899809656,0.2629641979798708
3001,0.3865572785062558,0.25689793046438514
4001,0.44301491532965265,0.3576632254349515
5001,0.43405100355909715,0.31181554955801727
6001,0.4234166935499013,0.36215974173106236
7001,0.437709520224708,0.36386017041897073
8001,0.4137650822647022,0.35370520688967094
9001,0.41403573766038143,0.3565578215483732
10001,0.3942368926920324,0.35985514465484353
11001,0.419970501134551,0.3606924840846912
12001,0.4068528590381375,0.3588269325727074
13001,0.4107948355169088,0.33925125119306887
14001,0.40850629711863645,0.34238008372288414
15001,0.4139788734920201,0.35407836721853087
16001,0.4165196065068769,0.35118104892247853
17001,0.42301874677584106,0.3275148148304026
18001,0.420813255224769,0.3235244229401569
19001,0.4129435271503188,0.3357470920289906
20001,0.4147583721415296,0.34655972080558967
21001,0.4188497302018552,0.3418978909405305
22001,0.4084375887166752,0.3270782241287379
23001,0.404104483549705,0.33037514648720767
24001,0.41140901578890565,0.34355590327275726
25001,0.3984533995483277,0.3462445515726941
26001,0.400215710111142,0.3380719359551866
27001,0.39852229764879454,0.3374121251972828
28001,0.39484883145357963,0.34061633220356574
29001,0.3890194988860642,0.34616357091777156
30001,0.39684659279393425,0.35106577137035333
31001,0.39856924831432927,0.3444322884665794
32001,0.3886843831003382,0.3390425623733509
33001,0.38256876204564755,0.33861289424170066
34001,0.39395921368260994,0.34975031180759814
35001,0.385894228821919,0.35999607261863303
36001,0.38243271109659344,0.35054994602570344
37001,0.37721046281169457,0.3469875291562003
38001,0.3826173117267017,0.3527585889572047
39001,0.37912817437860274,0.35914640104842005
40001,0.3791520501288947,0.3512664292406625
41001,0.38411398979622374,0.34728374522909633
42001,0.38431606369674226,0.3584484895044985
43001,0.3781143708412391,0.3606586096300318
44001,0.37956948165042154,0.3505678913127533
45001,0.3805417073442787,0.3542061487871967
46001,0.37730236824403146,0.35447192416245366
47001,0.3753127825458476,0.35104980050015333
48001,0.37354898909430123,0.3550708362550546
49001,0.37172374103129147,0.3508602203751936
50001,0.3681603898213549,0.35215515432437794
51001,0.36854315038431146,0.3527622395542367
52001,0.3722721035277814,0.35049350238173377
53001,0.37424833920185385,0.3484504389106392
54001,0.37331855084918875,0.35010083897313016
55001,0.37055467637132244,0.3491333661210198
56001,0.3669676415886398,0.34686489349879956
57001,0.36664303235858436,0.353230531319408
58001,0.36892165782071507,0.35967120485064763
59001,0.37273575025004546,0.3526176163391853
60001,0.37411976114000484,0.3506223495010581
61001,0.3735178388278775,0.3524572193126683
62001,0.37335407311550867,0.3500778006990609
63001,0.3713312946403413,0.3467444565332262
64001,0.3710753852455665,0.3447286212357795
65001,0.36999509554870735,0.34125635408405497
66001,0.3663291786042573,0.3451929023037616
67001,0.36280346130799945,0.3509626541931708
68001,0.3625879057634764,0.3496183854121984
69001,0.3651739976701088,0.34451394394192913
70001,0.3675316033832314,0.3473299995997772
71001,0.36731881335397615,0.354338688969498
72001,0.3673959323459661,0.3586084446453334
73001,0.36935790364170595,0.35417345403188966
74001,0.37039108365347484,0.35283474917136765
75001,0.37136317866329865,0.3524218831630759
76001,0.3719774344737082,0.35058763869180753
77001,0.37036240490240413,0.358147920273006
78001,0.3692060460967928,0.3590532156676608
79001,0.3678181081244486,0.351942964466135
80001,0.364513213803498,0.34826030717773315
81001,0.36123711729624336,0.3502769084065949
82001,0.36034850631649784,0.34824282610888374
83001,0.3617520316108803,0.34229062715915964
84001,0.36157831722643985,0.34412234376558587
85001,0.36004158537264735,0.34791521613369336
86001,0.3587814385550769,0.3497732980247121
87001,0.35989776221943626,0.34558306561771573
88001,0.36188646293548354,0.3434325205930971
89001,0.36259737812294796,0.34525848030753264
90001,0.3623789109614799,0.3451103179718524
91001,0.3618198186316032,0.3448938642053838
92001,0.36227610678593775,0.341572258245344
93001,0.36275992119341455,0.3418280872414178
94001,0.3620525086233826,0.3436782456963531
95001,0.3608328377452525,0.3416759544664286
96001,0.35986843736171636,0.33820614670466226
97001,0.3587246574948303,0.34002312881048824
98001,0.35778031047223474,0.34329322734736883
99001,0.3577931269051594,0.3444888962247169
